0.003704, 0.148148, 50
0.010851, 0.142946, 50
0.022737, 0.237725, 50
0.039324, 0.331736, 50
0.060559, 0.424692, 50
0.086375, 0.516327, 50
0.116696, 0.606415, 50
0.151434, 0.694774, 50
0.190499, 0.781296, 50
0.233798, 0.865965, 50
0.281242, 0.948891, 50
0.332759, 1.030347, 50
0.388300, 1.110805, 50
0.447849, 1.190983, 50
0.511443, 1.271877, 50
0.579182, 1.354784, 50
0.651247, 1.441304, 50
0.727912, 1.533305, 50
0.809554, 1.632840, 50
0.896655, 1.742021, 50
0.989798, 1.862855, 50
1.089651, 1.997048, 50
1.196942, 2.145837, 50
1.312435, 2.309852, 50
1.436889, 2.489073, 50
1.571032, 2.682861, 50
1.715536, 2.890086, 50
1.868125, 3.051787, 50
2.026045, 3.158399, 50
2.189157, 3.262235, 50
2.357289, 3.362634, 50
2.530257, 3.459362, 50
2.707882, 3.552508, 50
2.890002, 3.642388, 50
3.076476, 3.729478, 50
3.267193, 3.814358, 50
3.462077, 3.897674, 50
3.661083, 3.980112, 50
3.864201, 4.062375, 50
4.071460, 4.145172, 50
4.282920, 4.229199, 50
4.498676, 4.315124, 50
4.718854, 4.403563, 50
4.943607, 4.495046, 50
5.173105, 4.589974, 50
5.407533, 4.688555, 50
5.647069, 4.790722, 50
5.891871, 4.896036, 50
6.139630, 4.955177, 50
6.385448, 4.916366, 50
6.626474, 4.820524, 50
6.862006, 4.710633, 50
7.091296, 4.585798, 50
7.313580, 4.445685, 50
7.528110, 4.290607, 50
7.734186, 4.121514, 50
7.931181, 3.939899, 50
8.118563, 3.747642, 50
8.295904, 3.546820, 50
8.462881, 3.339533, 50
8.619268, 3.127748, 50
8.764928, 2.913200, 50
8.899795, 2.697334, 50
9.023860, 2.481293, 50
9.137156, 2.265925, 50
9.239747, 2.051818, 50
9.331714, 1.839336, 50
9.413147, 1.628666, 50
9.484139, 1.419849, 50
9.544780, 1.212819, 50
9.595152, 1.007428, 50
9.635325, 0.803470, 50
9.665360, 0.600697, 50
9.685302, 0.398832, 50
9.695181, 0.197580, 50
9.697608, 0.048538, 50
9.697608, 0.000000, 50
